encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
NVIDIA,1080p,RushFieldCuts_2k,22,medium,1.212112,75327.69,43.80295,26.765977,28.884025,41.805706,7.0193,3.51,2.0
NVIDIA,1080p,RushFieldCuts_2k,27,medium,0.766883,47658.54,39.493851,26.808791,28.909944,38.039541,7.0303,3.51,2.0
NVIDIA,1080p,RushFieldCuts_2k,32,medium,0.443636,27570.14,35.690468,26.889271,28.976849,34.720792,7.0428,3.52,2.001
NVIDIA,1080p,RushFieldCuts_2k,37,medium,0.25737,15994.44,32.489478,26.970283,29.023664,31.927915,6.3338,4.22,1.5
NVIDIA,1080p,RushFieldCuts_2k,22,slow,1.212112,75327.69,43.80295,26.765977,28.884025,41.805706,7.0231,3.51,2.001
NVIDIA,1080p,RushFieldCuts_2k,27,slow,0.766883,47658.54,39.493851,26.808791,28.909944,38.039541,7.0206,3.51,2.001
NVIDIA,1080p,RushFieldCuts_2k,32,slow,0.443636,27570.14,35.690468,26.889271,28.976849,34.720792,7.0422,3.52,2.0
NVIDIA,1080p,RushFieldCuts_2k,37,slow,0.25737,15994.44,32.489478,26.970283,29.023664,31.927915,6.3248,4.22,1.501
NVIDIA,1080p,ToddlerFountain_2k,22,ultrafast,1.382947,85944.32,41.245454,33.297741,32.727661,40.21636,5.303,3.54,1.5
NVIDIA,1080p,ToddlerFountain_2k,27,ultrafast,0.800012,49717.38,37.623309,33.420798,32.846596,37.062107,4.6675,3.73,1.25
NVIDIA,1080p,ToddlerFountain_2k,32,ultrafast,0.420423,26127.5,34.297044,33.553247,33.008561,34.170026,4.6359,3.71,1.25
