video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
TimeLapse_4k,22,medium,258557.36,44.2984,48.0255,49.0449
TimeLapse_4k,27,medium,141564.14,41.7366,45.5766,46.9549
TimeLapse_4k,32,medium,78316.60,39.1222,43.5633,45.0983
TimeLapse_4k,37,medium,42738.19,36.4782,42.0955,43.6993
TimeLapse_4k,22,slow,224910.84,43.9865,47.5925,48.7218
TimeLapse_4k,27,slow,125266.92,41.4438,45.0283,46.5674
TimeLapse_4k,32,slow,68905.40,38.7579,42.8983,44.6285
TimeLapse_4k,37,slow,36437.46,36.0289,41.4324,43.2899
TimeLapse_4k,22,slower,224574.78,43.9950,47.5954,48.7270
TimeLapse_4k,27,slower,125127.20,41.4501,45.0392,46.5787
TimeLapse_4k,32,slower,68801.55,38.7697,42.9365,44.6483
TimeLapse_4k,37,slower,36462.00,36.0451,41.4762,43.3096
TimeLapse_4k,22,veryslow,224576.20,43.9950,47.5954,48.7270
TimeLapse_4k,27,veryslow,125128.62,41.4501,45.0392,46.5787
TimeLapse_4k,32,veryslow,68802.98,38.7697,42.9365,44.6483
TimeLapse_4k,37,veryslow,36463.42,36.0451,41.4762,43.3096
TimeLapse_4k,22,placebo,224516.72,43.9967,47.6014,48.7334
TimeLapse_4k,27,placebo,125106.91,41.4511,45.0410,46.5816
TimeLapse_4k,32,placebo,68850.65,38.7679,42.9354,44.6509
TimeLapse_4k,37,placebo,36502.59,36.0410,41.4724,43.3113
Boat_2k,22,ultrafast,195757.30,41.7258,42.8660,43.7643
Boat_2k,27,ultrafast,122791.27,37.9259,40.0277,41.2440
Boat_2k,32,ultrafast,73432.35,34.2540,38.1872,39.5380
Boat_2k,37,ultrafast,42022.63,30.9381,36.9613,38.2835
Boat_2k,22,superfast,189705.77,42.1757,43.0689,43.9773
Boat_2k,27,superfast,118941.65,38.2782,40.1336,41.3528
Boat_2k,32,superfast,71352.71,34.5840,38.1686,39.5201
Boat_2k,37,superfast,41126.30,31.2302,36.8472,38.1617
Boat_2k,22,veryfast,189912.98,42.2366,43.1533,44.1103
Boat_2k,27,veryfast,118837.34,38.3848,40.2280,41.4918
Boat_2k,32,veryfast,71263.03,34.7032,38.2471,39.6474
Boat_2k,37,veryfast,41005.95,31.3265,36.9035,38.2557
Boat_2k,22,faster,189912.98,42.2366,43.1533,44.1103
Boat_2k,27,faster,118837.34,38.3848,40.2280,41.4918
Boat_2k,32,faster,71263.03,34.7032,38.2471,39.6474
Boat_2k,37,faster,41005.95,31.3265,36.9035,38.2557
Boat_2k,22,fast,189914.41,42.2366,43.1533,44.1103
Boat_2k,27,fast,118838.75,38.3848,40.2280,41.4918
Boat_2k,32,fast,71264.45,34.7032,38.2471,39.6474
Boat_2k,37,fast,41007.36,31.3265,36.9035,38.2557
Boat_2k,22,medium,189808.67,42.2508,43.1534,44.1119
Boat_2k,27,medium,118765.59,38.3939,40.2274,41.4903
Boat_2k,32,medium,71224.33,34.7105,38.2422,39.6434
Boat_2k,37,medium,41079.11,31.3320,36.9031,38.2564
Boat_2k,22,slow,178381.08,42.1498,42.6636,43.6073
Boat_2k,27,slow,109477.58,38.1759,39.6328,40.9539
Boat_2k,32,slow,64492.19,34.4178,37.6651,39.1858
Boat_2k,37,slow,36195.32,30.9236,36.4351,37.8315
Boat_2k,22,slower,178323.02,42.1593,42.6681,43.6125
Boat_2k,27,slower,109276.03,38.1818,39.6384,40.9617
Boat_2k,32,slower,64486.05,34.4233,37.6753,39.1933
Boat_2k,37,slower,36276.50,30.9347,36.4470,37.8426
Boat_2k,22,veryslow,178324.45,42.1593,42.6681,43.6125
Boat_2k,27,veryslow,109277.45,38.1818,39.6384,40.9617
