encoder,resolution,VideoName,QP,Preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,Validated_Mean_Energy_J,Std_Dev_J,Avg_Time_per_Measurement_s,Measurements_Count_Used
x265,1080p,CrowdRun_1080p50,32,medium,0.671659,69637.6,33.7758,36.3438,37.0171,34.138881,1044.2750244,1.71077660814126,24.9940954406,5
x265,1080p,CrowdRun_1080p50,32,superfast,0.671752,69647.2,33.6972,36.3057,36.9772,34.065231,922.81203,0.249702031303312,22.0370486136667,3
x265,1080p,CrowdRun_1080p50,32,ultrafast,0.716134,74248.8,33.1897,36.1568,36.8711,33.605231,247.396266,0.863617872621624,5.9567795388,5
x265,1080p,CrowdRun_1080p50,32,veryfast,0.671597,69631.2,33.7653,36.3446,37.0213,34.130006,979.014509444444,6.14148069740299,23.5306620348889,9
x265,1080p,CrowdRun_1080p50,37,fast,0.378314,39223.6,30.5946,34.8506,35.5105,31.167844,829.927179285714,2.71280638028572,19.4834826111429,7
x265,1080p,CrowdRun_1080p50,37,faster,0.378302,39222.4,30.5946,34.8506,35.5105,31.167844,825.28601925,0.679044955406918,19.44756880175,4
x265,1080p,CrowdRun_1080p50,37,medium,0.377967,39187.6,30.6036,34.8451,35.5015,31.174813,875.7541422,2.0777726915858,20.6390413714,5
x265,1080p,CrowdRun_1080p50,37,superfast,0.378264,39218.4,30.5383,34.836,35.4819,31.115881,785.992632,1.06885285852388,18.4123822775,4
x265,1080p,CrowdRun_1080p50,37,ultrafast,0.39679,41139.2,30.0321,34.8479,35.5399,30.677325,213.731766222222,1.73710445440227,5.03064566833333,9
x265,1080p,CrowdRun_1080p50,37,veryfast,0.378302,39222.4,30.5946,34.8506,35.5105,31.167844,826.6728474,2.31051182338076,19.4257147736,5
x265,1080p,DinnerSceneCropped_2k,22,fast,0.770904,47908.47,40.9861,43.0299,47.0327,41.49175,1226.6067596,3.37658252464275,29.9610248308,5
x265,1080p,DinnerSceneCropped_2k,22,faster,0.770893,47907.77,40.9861,43.0299,47.0327,41.49175,1230.7033562,5.24137473981676,30.0180728634,5
x265,1080p,DinnerSceneCropped_2k,22,medium,0.769198,47802.44,40.9903,43.026,47.0308,41.495062,1323.956358,0.867961749064247,32.24476483425,4
x265,1080p,DinnerSceneCropped_2k,22,superfast,0.768567,47763.23,40.9274,43.0356,47.0337,41.440806,1151.2119925,4.16326783294458,27.7312334403571,14
x265,1080p,DinnerSceneCropped_2k,22,ultrafast,0.745575,46334.35,40.7079,42.9829,47.0302,41.245231,301.007919375,1.16459324575369,7.253743346875,8
x265,1080p,DinnerSceneCropped_2k,22,veryfast,0.770893,47907.77,40.9861,43.0299,47.0327,41.49175,1228.9566928,2.49006458194777,30.0699605416,5
x265,1080p,DinnerSceneCropped_2k,27,fast,0.192963,11991.85,38.1137,41.031,45.6934,38.769762,916.071507,0.297259496398349,21.4980399576667,3
